Date,24036-p,24137-p,24143-p,94051-p,mean-tmax,mean-tmin
1/1/2001,0,0,0,0,41.66666667,23.33333333
1/2/2001,0,0,0,0,46.66666667,23.66666667
1/3/2001,0,0,0,0,54.33333333,38.33333333
1/4/2001,0,0,0,0,46,34.33333333
1/5/2001,0,0,0,0,52,34
1/6/2001,0,0,0,0,42,21
1/7/2001,0,0,0,0,42.66666667,16.33333333
1/8/2001,0,0,0,0,49.33333333,17
1/9/2001,0,0,0,0,45.33333333,24.33333333
1/10/2001,0,0,0,0,44,21
1/11/2001,0,0,0,0,37.66666667,16.66666667
1/12/2001,0,0.03,0.15,0.045,27.66666667,20.33333333
1/13/2001,0.01,0,0,0.0025,23,6.333333333
1/14/2001,0,0,0,0,30,6.666666667
1/15/2001,0,0,0.01,0.0025,23,10.66666667
1/16/2001,0,0,0,0,28.33333333,1.333333333
1/17/2001,0.05,0.01,0.09,0.0375,32,17.66666667
1/18/2001,0,0,0,0,32.66666667,15.66666667
1/19/2001,0.01,0.01,0.08,0.035,41,17.33333333
1/20/2001,0.04,0,0.06,0.025,37.33333333,23
1/21/2001,0,0,0,0,43,23.33333333
1/22/2001,0,0,0,0,42.33333333,20.66666667
1/23/2001,0,0,0,0,40,14.66666667
1/24/2001,0,0,0,0,36.33333333,11.66666667
1/25/2001,0.02,0,0.22,0.06,32.33333333,19
1/26/2001,0,0,0,0,25.33333333,6.333333333
1/27/2001,0,0,0,0,34.66666667,8.333333333
1/28/2001,0,0,0,0,42.33333333,20.33333333
1/29/2001,0,0,0,0,41,22
1/30/2001,0,0,0,0,35.66666667,19
1/31/2001,0,0,0,0,33.66666667,18
2/1/2001,0.01,0,0,0.0025,44.33333333,18.66666667
2/2/2001,0,0,0,0,45,29.66666667
2/3/2001,0,0,0,0,40.33333333,25
2/4/2001,0.01,0,0,0.0025,44.33333333,26.33333333
2/5/2001,0.08,0.02,0,0.03,40.33333333,18.66666667
2/6/2001,0.04,0,0.06,0.025,19,9
2/7/2001,0.01,0,0.04,0.0125,11,-4.333333333
2/8/2001,0,0,0,0,10.33333333,-15
2/9/2001,0,0,0,0,16,-2
2/10/2001,0,0,0,0,22.33333333,2
2/11/2001,0,0,0.11,0.0275,14.33333333,-5
2/12/2001,0.02,0.01,0.02,0.0125,29,-5.666666667
2/13/2001,0.04,0,0.03,0.0175,13.33333333,-9
2/14/2001,0,0,0,0,30,-10
2/15/2001,0.01,0.01,0.05,0.0175,12.66666667,-1.333333333
2/16/2001,0.02,0,0.02,0.01,7.666666667,-2.666666667
2/17/2001,0,0,0,0.005,27.66666667,-3.666666667
2/18/2001,0,0,0,0,40.66666667,19.66666667
2/19/2001,0,0,0,0,26.33333333,10.66666667
2/20/2001,0,0,0,0,24.33333333,10.66666667
2/21/2001,0.06,0,0,0.015,35.66666667,9.666666667
2/22/2001,0.14,0,0.03,0.0425,30.66666667,17.66666667
2/23/2001,0,0,0,0,36.33333333,12.33333333
2/24/2001,0,0,0,0,20.66666667,7
2/25/2001,0,0,0.01,0.0025,10.33333333,-2
2/26/2001,0.01,0,0,0.0025,13.66666667,-8.666666667
2/27/2001,0,0,0,0,29.33333333,-8
2/28/2001,0,0,0,0,42.66666667,15
3/1/2001,0,0,0,0,44,23.33333333
3/2/2001,0,0,0,0,42,25.66666667
3/3/2001,0.02,0,0,0.01,36.66666667,19
3/4/2001,0,0,0,0.0025,43,18.33333333
3/5/2001,0,0,0,0,48.66666667,22.66666667
3/6/2001,0,0,0,0,51,24.66666667
3/7/2001,0,0,0,0,53.33333333,23.33333333
3/8/2001,0,0,0,0,59,25.33333333
3/9/2001,0.06,0,0.11,0.0625,40.66666667,24
3/10/2001,0,0,0,0,44,17
3/11/2001,0,0,0,0,44.33333333,26.33333333
3/12/2001,0,0,0,0.0025,50.66666667,34
3/13/2001,0,0.03,0,0.0075,52,32.33333333
