date,24032-p,94077-p,mean-tmax,mean-tmin
1/1/2001,0,0,27,-7
1/2/2001,0,0,45,9
1/3/2001,0,0,52,23
1/4/2001,0,0,59,31
1/5/2001,0,0,58,24
1/6/2001,0,0,54,27
1/7/2001,0,0,43,24
1/8/2001,0,0,50,16
1/9/2001,0,0,58,16
1/10/2001,0,0,54,24
1/11/2001,0,0,52,20
1/12/2001,0,0,57,16
1/13/2001,0.07,0.07,39,24
1/14/2001,0.01,0.01,24,19
1/15/2001,0,0,30,21
1/16/2001,0,0,30,4
1/17/2001,0,0,41,2
1/18/2001,0.01,0.01,33,10
1/19/2001,0,0,25,-1
1/20/2001,0,0,43,11
1/21/2001,0,0,47,15
1/22/2001,0,0,45,20
1/23/2001,0,0,47,15
1/24/2001,0,0,37,14
1/25/2001,0,0,42,25
1/26/2001,0,0,34,11
1/27/2001,0,0,50,5
1/28/2001,0.15,0.15,38,22
1/29/2001,0.24,0.24,35,31
1/30/2001,0.02,0.02,36,21
1/31/2001,0,0,38,9
2/1/2001,0,0,29,-7
2/2/2001,0,0,45,-7
2/3/2001,0.01,0.01,47,35
2/4/2001,0,0,47,26
2/5/2001,0,0,47,26
2/6/2001,0,0,42,23
2/7/2001,0.01,0.01,33,17
2/8/2001,0.07,0.07,17,3
2/9/2001,0,0,15,-7
2/10/2001,0,0,36,5
2/11/2001,0,0,30,8
2/12/2001,0,0,36,5
2/13/2001,0,0,29,10
2/14/2001,0.07,0.07,15,2
2/15/2001,0,0,34,0
2/16/2001,0,0,17,3
2/17/2001,0,0,30,10
2/18/2001,0,0,48,9
2/19/2001,0,0,50,22
2/20/2001,0,0,30,19
2/21/2001,0,0,35,19
2/22/2001,0,0,42,16
2/23/2001,0,0,26,19
2/24/2001,0.07,0.07,27,18
2/25/2001,0,0,33,20
2/26/2001,0,0,34,12
2/27/2001,0,0,23,8
2/28/2001,0,0,41,9
3/1/2001,0,0,46,14
3/2/2001,0,0,50,20
3/3/2001,0,0,49,26
3/4/2001,0,0,39,29
3/5/2001,0,0,34,27
3/6/2001,0,0,45,27
3/7/2001,0,0,53,25
3/8/2001,0,0,52,21
3/9/2001,0,0,66,25
3/10/2001,0,0,36,29
3/11/2001,0.02,0.02,30,22
3/12/2001,0.11,0.11,50,26
3/13/2001,0,0,61,37
3/14/2001,0,0,65,33
3/15/2001,0,0,36,23
3/16/2001,0,0,50,18
3/17/2001,0,0,56,20
3/18/2001,0,0,58,30
3/19/2001,0,0,60,22
3/20/2001,0,0,62,31
3/21/2001,0.08,0.08,57,35
3/22/2001,0,0,47,33
3/23/2001,0.05,0.05,34,27
3/24/2001,0,0,40,19
3/25/2001,0,0,39,18
3/26/2001,0,0,47,15
3/27/2001,0,0,54,27
3/28/2001,0,0,57,28
3/29/2001,0,0,61,28
3/30/2001,0.07,0.07,66,26
3/31/2001,0,0,50,22
4/1/2001,0,0,67,22
4/2/2001,0.27,0.27,56,25
4/3/2001,0.2,0.2,44,35
4/4/2001,0,0,58,41
4/5/2001,0.03,0.03,60,45
4/6/2001,0.52,0.52,52,41
4/7/2001,0.65,0.65,56,34
4/8/2001,0.02,0.02,62,38
4/9/2001,0,0,70,36
4/10/2001,0,0,58,41
4/11/2001,0.77,0.77,46,35
4/12/2001,0,0,57,36
4/13/2001,0,0,62,35
4/14/2001,0,0,72,30
4/15/2001,0.01,0.01,55,34
4/16/2001,0,0,47,24
4/17/2001,0,0,58,16
4/18/2001,0,0,88,41
4/19/2001,0,0,94,49
4/20/2001,0.51,0.51,67,43
4/21/2001,0,0,50,39
4/22/2001,1.6,1.6,39,29
4/23/2001,0.04,0.04,55,30
4/24/2001,0,0,69,34
4/25/2001,0,0,83,37
4/26/2001,0,0,88,41
4/27/2001,0,0,89,47
4/28/2001,0,0,92,53
4/29/2001,0.87,0.87,89,57
4/30/2001,0,0,77,52
5/1/2001,0.02,0.02,77,56
5/2/2001,0,0,65,50
5/3/2001,0.02,0.02,63,48
5/4/2001,0.08,0.08,59,48
5/5/2001,1.13,1.13,73,50
5/6/2001,0.54,0.54,64,39
5/7/2001,0,0,69,34
5/8/2001,0,0,79,36
5/9/2001,0,0,80,54
5/10/2001,0.07,0.07,74,50
5/11/2001,0.01,0.01,69,45
5/12/2001,0,0,87,48
5/13/2001,0,0,95,44
5/14/2001,0,0,96,56
5/15/2001,0,0,87,54
5/16/2001,0,0,80,45
5/17/2001,0,0,72,48
5/18/2001,0,0,82,43
5/19/2001,0,0,74,53
5/20/2001,0,0,61,42
5/21/2001,0.02,0.02,60,38
5/22/2001,0,0,65,36
5/23/2001,0,0,59,36
5/24/2001,0.05,0.05,49,37
5/25/2001,0,0,68,33
5/26/2001,0,0,75,33
5/27/2001,0,0,84,39
5/28/2001,0,0,80,44
5/29/2001,0.48,0.48,65,56
5/30/2001,0.57,0.57,57,50
5/31/2001,0.13,0.13,73,45
6/1/2001,0.01,0.01,71,39
6/2/2001,0.06,0.06,73,34
6/3/2001,0.35,0.35,66,52
6/4/2001,0.43,0.43,58,47
6/5/2001,0.01,0.01,79,47
6/6/2001,0.02,0.02,81,51
6/7/2001,0.02,0.02,72,46
6/8/2001,0,0,81,45
6/9/2001,0.37,0.37,90,58
6/10/2001,0,0,89,53
6/11/2001,0,0,80,63
6/12/2001,0,0,72,59
6/13/2001,0.09,0.09,77,57
6/14/2001,0.33,0.33,68,48
6/15/2001,0,0,80,43
6/16/2001,0,0,83,52
6/17/2001,0,0,92,56
6/18/2001,0,0,83,48
6/19/2001,0,0,69,44
6/20/2001,0,0,68,41
6/21/2001,0,0,74,42
6/22/2001,0,0,84,44
6/23/2001,0,0,99,57
6/24/2001,0,0,104,72
6/25/2001,0,0,101,74
6/26/2001,0,0,87,67
6/27/2001,0,0,95,71
6/28/2001,0,0,97,68
6/29/2001,0.45,0.45,97,62
6/30/2001,0,0,87,62
7/1/2001,0.9,0.9,69,51
7/2/2001,0,0,87,53
7/3/2001,0,0,81,65
7/4/2001,0.01,0.01,88,60
7/5/2001,0,0,89,65
7/6/2001,0,0,93,71
7/7/2001,0.57,0.57,92,64
7/8/2001,0.01,0.01,90,68
7/9/2001,0.06,0.06,89,70
7/10/2001,0.17,0.17,81,65
7/11/2001,0.41,0.41,74,62
7/12/2001,0.05,0.05,84,66
7/13/2001,0,0,83,66
7/14/2001,0,0,92,63
7/15/2001,0,0,87,68
7/16/2001,0,0,95,66
7/17/2001,0.01,0.01,94,58
7/18/2001,0.19,0.19,100,61
7/19/2001,0,0,97,62
7/20/2001,0,0,95,62
7/21/2001,0.49,0.49,100,66
7/22/2001,0.02,0.02,88,63
7/23/2001,0,0,89,68
7/24/2001,0,0,83,65
7/25/2001,0,0,89,67
7/26/2001,0.11,0.11,86,63
7/27/2001,0.06,0.06,87,64
7/28/2001,0,0,94,56
7/29/2001,0,0,95,71
7/30/2001,0,0,101,72
7/31/2001,0,0,101,78
8/1/2001,0,0,85,62
8/2/2001,0,0,95,63
8/3/2001,0,0,101,67
8/4/2001,0,0,101,70
8/5/2001,0,0,103,76
8/6/2001,0,0,99,66
8/7/2001,0,0,104,64
8/8/2001,0,0,102,68
8/9/2001,0,0,79,53
8/10/2001,0.02,0.02,78,48
8/11/2001,0.1,0.1,92,53
8/12/2001,0.14,0.14,85,54
8/13/2001,0,0,90,54
8/14/2001,0.68,0.68,74,60
8/15/2001,0.02,0.02,86,57
8/16/2001,0,0,82,51
8/17/2001,0.02,0.02,89,53
8/18/2001,0,0,82,50
8/19/2001,0,0,84,52
8/20/2001,0,0,97,62
8/21/2001,0.03,0.03,96,63
8/22/2001,0,0,94,58
8/23/2001,0.71,0.71,86,62
8/24/2001,0,0,82,61
8/25/2001,0,0,88,59
8/26/2001,0,0,97,66
8/27/2001,0,0,86,59
8/28/2001,0,0,92,60
8/29/2001,0,0,93,66
8/30/2001,0,0,85,47
8/31/2001,0,0,86,49
9/1/2001,0,0,89,64
9/2/2001,0,0,100,56
9/3/2001,0,0,89,59
9/4/2001,0,0,102,57
9/5/2001,0,0,95,67
9/6/2001,0.55,0.55,91,60
9/7/2001,0.31,0.31,76,55
9/8/2001,0.07,0.07,64,44
9/9/2001,0,0,78,37
9/10/2001,0,0,87,39
9/11/2001,0,0,90,50
9/12/2001,0,0,78,52
9/13/2001,0,0,64,53
9/14/2001,0.13,0.13,66,54
9/15/2001,0.62,0.62,57,52
9/16/2001,0,0,68,47
9/17/2001,0.01,0.01,70,49
9/18/2001,0.22,0.22,68,54
9/19/2001,0.01,0.01,84,45
9/20/2001,0,0,75,47
9/21/2001,0,0,81,38
9/22/2001,0,0,81,38
9/23/2001,0.03,0.03,69,29
9/24/2001,0,0,69,29
9/25/2001,0,0,75,44
9/26/2001,0,0,80,48
9/27/2001,0,0,81,45
9/28/2001,0,0,80,48
9/29/2001,0,0,80,55
9/30/2001,0,0,78,49
10/1/2001,0,0,85,43
10/2/2001,0,0,88,48
10/3/2001,0,0,65,33
10/4/2001,0.44,0.44,54,41
10/5/2001,0,0,53,29
10/6/2001,0,0,66,24
10/7/2001,0,0,81,34
10/8/2001,0,0,77,50
10/9/2001,0.01,0.01,65,46
10/10/2001,0.01,0.01,62,33
10/11/2001,0,0,71,32
10/12/2001,0.03,0.03,58,30
10/13/2001,0.01,0.01,60,31
10/14/2001,0,0,57,33
10/15/2001,0,0,50,23
10/16/2001,0,0,60,14
10/17/2001,0,0,86,28
10/18/2001,0,0,56,32
10/19/2001,0,0,64,33
10/20/2001,0,0,64,32
10/21/2001,0,0,66,32
10/22/2001,0,0,77,37
10/23/2001,0,0,78,32
10/24/2001,0,0,47,31
10/25/2001,0,0,50,28
10/26/2001,0,0,51,15
10/27/2001,0,0,76,32
10/28/2001,0,0,85,38
10/29/2001,0,0,51,34
10/30/2001,0,0,66,37
10/31/2001,0,0,80,45
11/1/2001,0,0,62,31
11/2/2001,0,0,67,27
11/3/2001,0,0,71,31
11/4/2001,0,0,73,25
11/5/2001,0,0,83,38
11/6/2001,0,0,71,28
11/7/2001,0,0,66,31
11/8/2001,0,0,52,21
11/9/2001,0,0,75,24
11/10/2001,0,0,66,17
11/11/2001,0,0,68,17
11/12/2001,0,0,68,28
11/13/2001,0,0,66,28
11/14/2001,0,0,72,30
11/15/2001,0,0,74,32
11/16/2001,0,0,71,38
11/17/2001,0,0,69,48
11/18/2001,0,0,49,21
11/19/2001,0,0,47,12
11/20/2001,0,0,64,19
11/21/2001,0,0,69,20
11/22/2001,0,0,56,29
11/23/2001,0.48,0.48,45,27
11/24/2001,0.25,0.25,41,30
11/25/2001,0.03,0.03,34,27
11/26/2001,0.13,0.13,27,14
11/27/2001,0,0,14,11
11/28/2001,0,0,13,-6
11/29/2001,0,0,30,-4
11/30/2001,0,0,36,15
12/1/2001,0,0,36,10
12/2/2001,0,0,45,22
12/3/2001,0,0,44,19
12/4/2001,0,0,46,28
12/5/2001,0,0,39,23
12/6/2001,0,0,43,26
12/7/2001,0,0,43,23
12/8/2001,0,0,42,17
12/9/2001,0,0,56,23
12/10/2001,0,0,36,19
12/11/2001,0,0,42,18
