date,24025-p,24024-p,94085-p,mean-tmax,mean-tmin
1/1/2001,0,0,0,19,-9.5
1/2/2001,0,0,0,42,7
1/3/2001,0,0,0,46.5,24
1/4/2001,0,0,0,52.5,32
1/5/2001,0,0,0,49.5,25.5
1/6/2001,0,0,0,49,33
1/7/2001,0,0,0,41.5,25
1/8/2001,0,0,0,43,21.5
1/9/2001,0,0,0,57,21.5
1/10/2001,0,0,0,44,20
1/11/2001,0,0,0,44.5,18
1/12/2001,0,0,0,46,16
1/13/2001,0,0,0,30,21
1/14/2001,0,0,0,22,17.5
1/15/2001,0,0,0,26,20.5
1/16/2001,0,0,0,25.5,6
1/17/2001,0.04,0.01,0.025,32.5,3
1/18/2001,0,0,0,33,4.5
1/19/2001,0,0,0,17,-2.5
1/20/2001,0,0.01,0.005,34,1.5
1/21/2001,0,0,0,40.5,16
1/22/2001,0,0,0,41,15
1/23/2001,0,0,0,43.5,16
1/24/2001,0,0,0,26.5,6.5
1/25/2001,0,0,0,44.5,16.5
1/26/2001,0,0,0,28,11
1/27/2001,0,0,0,42.5,4.5
1/28/2001,0,0,0,35,8.5
1/29/2001,0.11,0.22,0.165,33.5,27.5
1/30/2001,0.12,0.13,0.125,36,17
1/31/2001,0,0,0,35.5,15.5
2/1/2001,0,0,0,20,-9
2/2/2001,0,0,0,42,-4
2/3/2001,0.03,0.09,0.06,44,34.5
2/4/2001,0,0,0,45.5,28.5
2/5/2001,0,0,0,41,25
2/6/2001,0,0,0,29.5,19.5
2/7/2001,0,0,0,23,12
2/8/2001,0,0,0,12.5,-9.5
2/9/2001,0,0,0,4,-16.5
2/10/2001,0,0,0,11,-10.5
2/11/2001,0,0,0,23,-11
2/12/2001,0.04,0,0.02,16.5,-1
2/13/2001,0,0,0,15,-0.5
2/14/2001,0,0,0,8.5,-3
2/15/2001,0,0,0,24.5,-7.5
2/16/2001,0,0,0,11.5,-2
2/17/2001,0,0,0,17,-4
2/18/2001,0.01,0,0.005,29,-3
2/19/2001,0,0,0,29.5,17
2/20/2001,0,0,0,20.5,1.5
2/21/2001,0,0,0,28.5,1.5
2/22/2001,0,0,0,28.5,6
2/23/2001,0,0.01,0.005,20.5,4.5
2/24/2001,0,0,0,22,17
2/25/2001,0,0.02,0.01,26,11.5
2/26/2001,0.01,0,0.005,18,4
2/27/2001,0,0.04,0.02,12.5,-4.5
2/28/2001,0,0,0,32,-3.5
3/1/2001,0,0,0,36,-1.5
3/2/2001,0,0,0,39,16.5
3/3/2001,0,0,0,36.5,13
3/4/2001,0,0,0,31,21
3/5/2001,0,0,0,25,16.5
3/6/2001,0,0,0,36,16.5
3/7/2001,0,0,0,43,20.5
3/8/2001,0,0,0,36.5,15.5
3/9/2001,0,0.12,0.06,41,21
3/10/2001,0,0,0,35.5,26.5
3/11/2001,0,0.02,0.01,33,21
3/12/2001,0.17,0.03,0.1,46,21
3/13/2001,0,0,0,56,34.5
3/14/2001,0,0,0,46,28
3/15/2001,0,0,0,37.5,23.5
3/16/2001,0,0,0,46,20
3/17/2001,0,0,0,52.5,22
3/18/2001,0,0,0,58,32.5
3/19/2001,0,0,0,60,28.5
3/20/2001,0.01,0,0.005,48,30.5
3/21/2001,0,0,0,58.5,26.5
3/22/2001,0,0,0,38,29
3/23/2001,0,0,0,35,21.5
3/24/2001,0,0,0,38.5,15
3/25/2001,0,0,0,34.5,15
3/26/2001,0,0,0,43,12
3/27/2001,0,0,0,44.5,21
3/28/2001,0.01,0.01,0.01,51,25.5
3/29/2001,0,0,0,61,27.5
3/30/2001,0.05,0.05,0.05,58.5,25
3/31/2001,0,0,0,49,23.5
4/1/2001,0,0,0,59,21.5
4/2/2001,0.01,0.18,0.095,51.5,25.5
4/3/2001,0.25,0,0.125,43.5,33.5
4/4/2001,0.05,0.03,0.04,55.5,38
4/5/2001,0,0,0,54.5,40.5
4/6/2001,0.11,0.15,0.13,53.5,39
4/7/2001,0.72,0.2,0.46,53.5,35
4/8/2001,0.04,0.21,0.125,54,33
4/9/2001,0,0,0,65,36
4/10/2001,0,0,0,54.5,35
4/11/2001,0.67,0,0.335,47,39
4/12/2001,0,0,0,56,34
4/13/2001,0,0,0,61,34
4/14/2001,0,0,0,66,27
4/15/2001,0,0,0,51,29
4/16/2001,0,0,0,46,20
4/17/2001,0,0.1,0.05,57.5,17.5
4/18/2001,0,0,0,78.5,37
4/19/2001,0,0,0,85.5,44
4/20/2001,0.33,0.38,0.355,62,47
4/21/2001,0.29,0.09,0.19,47.5,35
4/22/2001,0.01,0.4,0.205,35.5,29.5
4/23/2001,0,0,0,49,27
4/24/2001,0,0,0,70,33.5
4/25/2001,0,0,0,82,40.5
4/26/2001,0,0,0,80,44
4/27/2001,0,0,0,88.5,51
4/28/2001,0,0,0,95,54
4/29/2001,0.01,0.02,0.015,87.5,53.5
4/30/2001,0.03,0,0.015,75.5,46.5
5/1/2001,0,0,0,73,52.5
5/2/2001,0,0,0,67,46
5/3/2001,0,0,0,63,47.5
5/4/2001,0,0,0,65.5,46
5/5/2001,0.58,0.6,0.59,59,47.5
5/6/2001,0.11,0.13,0.12,63,42.5
5/7/2001,0,0,0,68.5,39.5
5/8/2001,0,0,0,79.5,39.5
5/9/2001,0,0,0,82,45
5/10/2001,0.48,0.17,0.325,69.5,44.5
5/11/2001,0.01,0,0.005,69,39
5/12/2001,0,0,0,81,48.5
5/13/2001,0,0,0,92.5,47
5/14/2001,0,0,0,91.5,53.5
5/15/2001,0,0,0,80.5,55.5
