date,24017-p,94990-p,94943-p,94039-p,mean-tmax,mean-tmin
1/1/2001,0,0,0,0,27,2
1/2/2001,0,0,0,0,42,22
1/3/2001,0,0,0,0,50,26
1/4/2001,0,0,0,0,55,25
1/5/2001,0,0,0,0,59,20
1/6/2001,0,0,0,0,48,24
1/7/2001,0,0,0,0,42,17
1/8/2001,0,0,0,0,46,14
1/9/2001,0,0,0,0,57,10
1/10/2001,0,0,0,0,54,17
1/11/2001,0,0,0,0,50,17
1/12/2001,0,0,0,0,51,15
1/13/2001,0,0,0,0,28,21
1/14/2001,0,0,0,0,31,15
1/15/2001,0,0,0,0,36,14
1/16/2001,0,0,0,0,31,7
1/17/2001,0,0,0,0,41,4
1/18/2001,0,0,0,0,38,17
1/19/2001,0,0,0,0,38,5
1/20/2001,0,0,0,0,43,17
1/21/2001,0,0,0,0,46,17
1/22/2001,0,0,0,0,47,15
1/23/2001,0,0,0,0,48,14
1/24/2001,0,0,0,0,46,8
1/25/2001,0,0,0,0,46,25
1/26/2001,0,0,0,0,33,2
1/27/2001,0,0,0,0,43,3
1/28/2001,0,0,0,0,35,21
1/29/2001,0,0,0,0,32,23
1/30/2001,0,0,0,0,33,13
1/31/2001,0,0,0,0,36,8
2/1/2001,0,0,0,0,23,11
2/2/2001,0,0,0,0,46,19
2/3/2001,0,0,0,0,42,27
2/4/2001,0,0,0,0,48,23
2/5/2001,0,0,0,0,44,26
2/6/2001,0,0,0,0,42,23
2/7/2001,0,0,0,0,24,10
2/8/2001,0,0,0,0,10,-16
2/9/2001,0,0,0,0,20,-18
2/10/2001,0,0,0,0,32,-1
2/11/2001,0,0,0,0,34,-2
2/12/2001,0,0,0,0,43,1
2/13/2001,0,0,0,0,27,9
2/14/2001,0,0,0,0,19,0
2/15/2001,0,0,0,0,30,0
2/16/2001,0,0,0,0,18,3
2/17/2001,0,0,0,0,31,10
2/18/2001,0,0,0,0,47,9
2/19/2001,0,0,0,0,43,24
2/20/2001,0,0,0,0,29,21
2/21/2001,0,0,0,0,45,23
2/22/2001,0,0,0,0,42,24
2/23/2001,0,0,0,0,32,28
2/24/2001,0,0,0,0,31,8
2/25/2001,0,0,0,0,39,-4
2/26/2001,0,0,0,0,23,14
2/27/2001,0,0,0,0,20,8
2/28/2001,0,0,0,0,40,2
3/1/2001,0,0,0,0,41,14
3/2/2001,0,0,0,0,50,17
3/3/2001,0,0,0,0,43,22
3/4/2001,0,0,0,0,48,22
3/5/2001,0,0,0,0,38,21
3/6/2001,0,0,0,0,56,27
3/7/2001,0,0,0,0,53,24
3/8/2001,0,0,0,0,57,23
3/9/2001,0,0,0,0,61,24
3/10/2001,0,0,0,0,36,29
3/11/2001,0,0,0,0,32,27
3/12/2001,0,0,0,0,49,27
3/13/2001,0,0,0,0,57,34
3/14/2001,0,0,0,0,48,26
3/15/2001,0,0,0,0,31,13
3/16/2001,0,0,0,0,42,5
3/17/2001,0,0,0,0,45,17
3/18/2001,0,0,0,0,51,27
3/19/2001,0,0,0,0,60,23
3/20/2001,0,0,0,0,55,30
3/21/2001,0,0,0,0,58,33
3/22/2001,0,0,0,0,62,29
3/23/2001,0,0,0,0,34,26
3/24/2001,0,0,0,0,34,25
3/25/2001,0,0,0,0,32,27
3/26/2001,0,0,0,0,47,31
3/27/2001,0,0,0,0,48,33
3/28/2001,0,0,0,0,55,24
3/29/2001,0,0,0,0,54,26
3/30/2001,0,0,0,0,56,25
3/31/2001,0,0,0,0,48,25
4/1/2001,0,0,0,0,63,19
4/2/2001,0,0,0,0,56,25
4/3/2001,0,0,0,0,51,29
4/4/2001,0,0,0,0,63,39
4/5/2001,0,0,0,0,62,43
4/6/2001,0.01,0.01,0.01,0.01,51,44
4/7/2001,0.15,0.15,0.15,0.15,59,42
4/8/2001,0.11,0.11,0.11,0.11,61,37
4/9/2001,0,0,0,0,60,26
4/10/2001,0.17,0.17,0.17,0.17,45,37
4/11/2001,0.46,0.46,0.46,0.46,44,35
4/12/2001,0,0,0,0,55,29
4/13/2001,0,0,0,0,58,34
4/14/2001,0,0,0,0,63,33
4/15/2001,0,0,0,0,56,25
4/16/2001,0,0,0,0,46,21
4/17/2001,0,0,0,0,62,16
4/18/2001,0,0,0,0,81,36
4/19/2001,0,0,0,0,82,38
4/20/2001,0.25,0.25,0.25,0.25,52,34
4/21/2001,0.24,0.24,0.24,0.24,45,32
4/22/2001,0.5,0.5,0.5,0.5,33,25
4/23/2001,0,0,0,0,50,22
4/24/2001,0,0,0,0,63,32
4/25/2001,0,0,0,0,75,32
4/26/2001,0,0,0,0,80,36
4/27/2001,0.17,0.17,0.17,0.17,84,40
4/28/2001,0,0,0,0,85,45
4/29/2001,0.09,0.09,0.09,0.09,80,47
4/30/2001,0,0,0,0,71,40
5/1/2001,0.02,0.02,0.02,0.02,68,45
5/2/2001,0,0,0,0,55,42
5/3/2001,0.17,0.17,0.17,0.17,52,41
5/4/2001,0.01,0.01,0.01,0.01,52,44
5/5/2001,0.8,0.8,0.8,0.8,48,43
5/6/2001,0.28,0.28,0.28,0.28,57,34
5/7/2001,0,0,0,0,66,28
5/8/2001,0,0,0,0,77,37
5/9/2001,0,0,0,0,78,47
5/10/2001,0.33,0.33,0.33,0.33,71,44
5/11/2001,0.04,0.04,0.04,0.04,72,45
5/12/2001,0,0,0,0,84,50
5/13/2001,0,0,0,0,91,45
5/14/2001,0,0,0,0,86,52
5/15/2001,0,0,0,0,79,48
5/16/2001,0,0,0,0,78,45
5/17/2001,0,0,0,0,68,46
5/18/2001,0,0,0,0,81,46
5/19/2001,0.1,0.1,0.1,0.1,73,54
5/20/2001,0.05,0.05,0.05,0.05,61,40
5/21/2001,0,0,0,0,59,38
5/22/2001,0,0,0,0,67,36
5/23/2001,0,0,0,0,65,33
5/24/2001,0,0,0,0,61,27
5/25/2001,0,0,0,0,65,29
5/26/2001,0,0,0,0,77,40
5/27/2001,0,0,0,0,78,46
5/28/2001,0,0,0,0,80,50
5/29/2001,0.2,0.2,0.2,0.2,71,57
