Date,24012-p,24090-p,94037-p,94023-p,94032-p,94038-p,94052-p,mean-tmax,mean-tmin,Garrison,Oahe
1/1/2001,0,0,0,0,0,0,0,28.33333333,2,17800,19000
1/2/2001,0,0,0,0,0,0,0,41.33333333,22,17900,21000
1/3/2001,0,0,0,0,0,0,0,48.33333333,25.33333333,17900,21000
1/4/2001,0,0,0,0,0,0,0,50.33333333,28,19000,20000
1/5/2001,0,0,0,0,0,0,0,51.66666667,24.33333333,19000,19000
1/6/2001,0,0,0,0,0,0,0,45,31,18500,20000
1/7/2001,0,0,0,0,0,0,0,38,22.66666667,18800,21000
1/8/2001,0,0,0,0,0,0,0,47.33333333,18.33333333,18600,23000
1/9/2001,0,0,0,0,0,0,0,51.33333333,21.33333333,18800,23000
1/10/2001,0,0,0,0,0,0,0,44.66666667,23,19100,24000
1/11/2001,0,0,0,0,0,0,0,47,22.66666667,19200,22000
1/12/2001,0,0,0,0,0,0,0,45.33333333,22,18900,23000
1/13/2001,0.17,0,0.05,0.073333333,0.073333333,0.073333333,0.073333333,25.66666667,15.66666667,18500,23000
1/14/2001,0.2,0.02,0.02,0.08,0.08,0.08,0.08,23,14.33333333,19000,22000
1/15/2001,0.02,0,0,0.006666667,0.006666667,0.006666667,0.006666667,24,14,18900,21000
1/16/2001,0,0,0,0,0,0,0,22.66666667,6.333333333,18900,21000
1/17/2001,0.01,0,0,0.003333333,0.003333333,0.003333333,0.003333333,33,7.333333333,18600,18000
1/18/2001,0,0,0,0,0,0,0,30,6.333333333,19000,20000
1/19/2001,0,0,0,0,0,0,0,28.66666667,2,18700,21000
1/20/2001,0,0,0,0,0,0,0,35,18,19200,18000
1/21/2001,0,0,0,0,0,0,0,40.66666667,17.33333333,18800,20000
1/22/2001,0,0,0,0,0,0,0,38.33333333,19,18900,19000
1/23/2001,0,0,0,0,0,0,0,39,11.33333333,18900,24000
1/24/2001,0,0,0,0,0,0,0,32.33333333,5.333333333,19400,22000
1/25/2001,0,0,0,0,0,0,0,40,18,19000,22000
1/26/2001,0.01,0,0,0.003333333,0.003333333,0.003333333,0.003333333,25.66666667,9.333333333,19200,20000
1/27/2001,0,0,0,0,0,0,0,36.33333333,7.666666667,18900,21000
1/28/2001,0,0,0,0,0,0,0,36.66666667,10.66666667,19000,20000
1/29/2001,0,0.21,0,0.07,0.07,0.07,0.07,35.33333333,18.66666667,19100,21000
1/30/2001,0,0,0,0,0,0,0,33.66666667,14.66666667,18900,19000
1/31/2001,0,0.01,0,0.003333333,0.003333333,0.003333333,0.003333333,32,4.666666667,17700,20000
2/1/2001,0,0,0,0,0,0,0,15.66666667,-6,18400,18000
2/2/2001,0,0,0,0,0,0,0,44.33333333,11.66666667,16900,20000
2/3/2001,0.01,0,0.01,0.006666667,0.006666667,0.006666667,0.006666667,42,29.33333333,17100,21000
2/4/2001,0,0,0,0,0,0,0,42.33333333,23.66666667,17300,20000
2/5/2001,0,0.02,0,0.006666667,0.006666667,0.006666667,0.006666667,38.33333333,22.33333333,17000,19000
2/6/2001,0,0.09,0.04,0.043333333,0.043333333,0.043333333,0.043333333,26,14.33333333,17200,22000
2/7/2001,0.1,0.03,0.01,0.046666667,0.046666667,0.046666667,0.046666667,17.33333333,6.666666667,17200,23000
2/8/2001,0.03,0,0.02,0.016666667,0.016666667,0.016666667,0.016666667,8.333333333,-11.33333333,17200,22000
2/9/2001,0,0,0,0,0,0,0,8.333333333,-18,17000,22000
2/10/2001,0,0,0,0,0,0,0,4.666666667,-8,17400,19000
2/11/2001,0,0,0,0,0,0,0,8,-6.333333333,16900,17000
2/12/2001,0,0,0,0,0,0,0,20,-4,17400,18000
2/13/2001,0,0,0,0,0,0,0,16.66666667,-5,17200,16000
2/14/2001,0,0,0,0,0,0,0,10.33333333,-11,16700,16000
2/15/2001,0,0,0,0,0,0,0,21.66666667,-2.666666667,16800,16000
2/16/2001,0,0,0,0,0,0,0,8.666666667,-5,16900,18000
2/17/2001,0,0,0,0,0,0,0,16,-1.333333333,17000,18000
2/18/2001,0,0,0,0,0,0,0,40.33333333,2,17000,19000
2/19/2001,0,0.02,0,0.006666667,0.006666667,0.006666667,0.006666667,29.33333333,13,17100,18000
